Action|Reward|In Progress
1|3.421052631578947|True
1|3.3157894736842106|True
3|4.315789473684211|True
1|4.315789473684211|True
0|4.315789473684211|True
1|0|True
3|0|True
2|0|True
1|1.7894736842105263|True
3|1.7894736842105263|True
2|0.9473684210526317|True
1|0|True
3|4.631578947368421|True
2|4.368421052631579|True
2|0|True
3|0.42105263157894757|True
2|0|True
1|4.368421052631579|True
3|4.368421052631579|True
2|4.368421052631579|True
2|0.6315789473684208|True
2|0.6315789473684208|True
2|0.6315789473684208|True
1|-1|True
3|0|True
2|0.5789473684210528|True
2|1.0526315789473684|True
2|1.0526315789473684|True
2|1.0526315789473684|True
2|0.05263157894736836|True
2|0.05263157894736836|True
3|0|True
2|0|True
1|0|True
3|0|True
2|0|True
2|2.0526315789473686|True
2|2.0526315789473686|True
2|2.0526315789473686|True
2|1.0526315789473686|True
2|1.0526315789473686|True
2|1.0526315789473686|True
2|1.0526315789473686|True
2|1.0526315789473686|True
3|2.0526315789473686|True
2|0|True
1|0.6315789473684208|True
3|0.6315789473684208|True
2|0|True
1|0.9473684210526317|True
3|1.5789473684210527|True
2|1.5789473684210527|True
1|0.3157894736842104|True
3|3.3157894736842106|True
1|4.0|True
1|4.315789473684211|True
3|1.9473684210526314|True
2|0.9999999999999998|True
1|0.9999999999999998|True
3|0|True
2|0|True
2|0.1578947368421052|True
2|0.1578947368421052|True
2|0.1578947368421052|True
2|-0.8421052631578948|True
2|-0.8421052631578948|True
2|-0.8421052631578948|True
2|-0.8421052631578948|True
2|-0.8421052631578948|True
2|-0.8421052631578948|True
2|-0.8421052631578948|True
2|-0.8421052631578948|True
3|0.1578947368421052|True
1|0.1578947368421052|True
2|0.1578947368421052|True
3|0|True
2|0|True
3|0.4736842105263156|True
2|0|True
3|1.0526315789473684|True
2|2.8421052631578947|True
2|4.2631578947368425|True
2|4.2631578947368425|True
2|4.2631578947368425|True
2|3.2631578947368425|True
2|3.2631578947368425|True
2|3.2631578947368425|True
2|3.2631578947368425|True
3|4.2631578947368425|True
2|1.1578947368421055|True
3|2.789473684210526|True
2|1.105263157894737|True
1|0|True
3|3.3684210526315788|True
2|3.3684210526315788|True
3|0.5789473684210528|True
2|1.473684210526316|True
2|1.842105263157895|True
2|0|True
2|0|True
2|-1|True
2|-1|True
2|-0.05263157894736825|True
2|-0.05263157894736825|True
2|-0.05263157894736825|True
3|2.263157894736842|True
0|3.8421052631578947|True
1|0|True
0|0|True
0|0.21052631578947378|True
0|-0.7894736842105262|True
0|-0.7894736842105262|True
0|-0.7894736842105262|True
0|-0.7894736842105262|True
0|-0.7894736842105262|True
1|-1|True
1|-1|False
