Action|Reward|In Progress
1|3.578947368421052|True
1|3.578947368421052|True
1|3.526315789473684|True
3|4.578947368421052|True
1|4.473684210526316|True
1|3.947368421052632|True
3|3.5789473684210527|True
1|3.6315789473684212|True
2|3.4210526315789473|True
2|0|True
2|0|True
2|-1|True
2|-1|True
3|0|True
2|0|True
3|0.6842105263157894|True
2|0|True
3|4.105263157894737|True
2|0|True
2|2.578947368421053|True
2|2.578947368421053|True
2|0.8947368421052632|True
2|-0.10526315789473684|True
2|-0.10526315789473684|True
3|0.8947368421052632|True
2|0.8947368421052632|True
3|0|True
2|0|True
1|0|True
3|0|True
2|0|True
2|2.6315789473684212|True
3|2.6315789473684212|True
2|2.6315789473684212|True
1|0|True
3|0|True
2|0|True
2|0.1578947368421052|True
2|0.1578947368421052|True
2|2.1578947368421053|True
2|1.1578947368421053|True
2|1.1578947368421053|True
3|2.1578947368421053|True
2|0.26315789473684237|True
3|0|True
2|0|True
1|0.5263157894736842|True
3|1.3684210526315788|True
1|4.421052631578947|True
0|4.052631578947368|True
3|3.3684210526315788|True
2|4.736842105263158|True
1|4.736842105263158|True
3|0|True
2|0|True
2|1.4210526315789473|True
2|1.4210526315789473|True
2|1.4210526315789473|True
2|0.42105263157894735|True
2|0.7894736842105263|True
3|1.7894736842105263|True
1|4.473684210526316|True
1|3.3684210526315788|True
2|3.3684210526315788|True
3|1.0526315789473684|True
2|1.0526315789473684|True
3|0|True
2|0|True
2|0.9999999999999998|True
2|0.9999999999999998|True
2|0.9999999999999998|True
2|-2.220446049250313e-16|True
2|2.3684210526315788|True
2|2.3684210526315788|True
3|0.42105263157894757|True
2|0.42105263157894757|True
2|0|True
2|0|True
2|0|True
2|-1|True
2|-1|True
3|0|True
2|1.2105263157894735|True
1|1.3157894736842106|True
3|1.3157894736842106|True
2|0.42105263157894757|True
1|0.8947368421052632|True
2|1.263157894736842|True
3|1.263157894736842|True
2|0|True
1|3.947368421052632|True
1|0|True
1|4.894736842105264|True
1|-1|False
